"serial_no","colour reading","mono reading"
"W3049404465",0,0
"E335M921128",0,79515
"W3058800366",0,0
"W915PA00530",0,122318
"W3058800367",0,133866
"W912P505251",0,180062
"E205R460004",179996,148743
"V9713800396",54163,133042
"V4409006707",0,225730
"W3059000924",0,53424
"V4499205019",0,302230
"W3059402721",0,28356
"V3L5103394",0,0
"G145PA01068",0,0
"W3059000905",0,504400
"W795PB00875",4067,66527
"W3019312917",0,158772
"V9714300084",111129,236916
"V9724002431",188851,314711
"E335M721199",0,340699
"E335M921113",0,235868
"V4409013092",0,55923
"V3L6105402",0,265984
"AK5B003041",28399,15097
"W795P403161",12817,32475
"W3028713024",0,138508
"M0189604757",0,287039
"M0169300672",0,197547
"S7224000403",11383,242212
"W915PA00557",0,212580
"W3059402723",0,79222
"W3059402713",0,187695
"E336M120062",0,129286
"W3059602206",0,24164
"W3059602189",0,69287
"W866J300042",0,2297310
"W3059602190",0,27026
"W3068501763",0,103327
"G445P600246",41035,386193
"V4409104661",0,0
"V9314270356",269978,913642
"V3L6105407",0,58776
"W3059602221",0,103602
"W3049202270",0,122431
"W3058900988",0,0
"M0189603645",0,275754
"E204RA65993",195988,63001
"G476M330601",14351,43567
"W3019001031",0,378437
"W912P504159",0,0
"W3068700878",0,174923
"E336M420435",0,605842
"W3068600796",0,0
"G146P301396",0,161804
"G475MC30665",26413,621466
"W3059000842",0,175197
"AK5C044185",0,0
"W3068501718",0,0
"M0188507860",0,0
"L7026260083",0,0
"E336M520237",0,245048
"W3039828177",0,432791
"V9713803254",107180,137569
"E336M520215",0,57931
"G476M430169",49378,311720
"G476M430256",53005,126297
"W3068600597",0,107604
"W3068600598",0,34884
"K2168805509",0,0
"W3029004345",0,243419
"G476M530251",22846,92945
"W916P505088",0,124211
"W3019104752",0,0
"E336M420495",0,205468
"G476M530234",171650,107200
"G074P500960",0,0
"W3068600585",0,78521
"M0189008511",0,181218
"W866J300041",0,1559102
"W3028600157",0,42223
"W3019315288",0,202962
"W3018601094",0,116394
"E336M520058",0,366990
"E206R362166",73863,532304
"W3068501335",0,0
"W502KA00829",0,0
"W796P501197",72024,76692
"W913P405333",0,334916
"V4409012751",0,199944
"G476M430413",16475,410303
"K2158602687",0,165802
"AK63039460",11293,19071
"W3068502003",0,0
"E336M520217",0,0
"E336M320660",0,160115
"E336M320585",0,0
"G146P601117",0,0
"W3068502114",0,219465
"G476M530518",32246,283778
"K2168906337",0,201232
"W3058800371",0,291552
